"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_log4j___Style","sample",4,14018802,3501.857830,47.872588,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_log4j___Style:logback_Log_log4j___Style·p0.00","sample",4,1,405.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_log4j___Style:logback_Log_log4j___Style·p0.50","sample",4,1,836.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_log4j___Style:logback_Log_log4j___Style·p0.90","sample",4,1,2928.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_log4j___Style:logback_Log_log4j___Style·p0.95","sample",4,1,9664.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_log4j___Style:logback_Log_log4j___Style·p0.99","sample",4,1,32032.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_log4j___Style:logback_Log_log4j___Style·p0.999","sample",4,1,172800.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_log4j___Style:logback_Log_log4j___Style·p0.9999","sample",4,1,3440640.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_log4j___Style:logback_Log_log4j___Style·p1.00","sample",4,1,49807360.000000,NaN,"ns/op"
