"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackuLog_logback_Style","sample",4,12199201,22334.415788,262.862572,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackuLog_logback_Style:logbackuLog_logback_Style·p0.00","sample",4,1,2568.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackuLog_logback_Style:logbackuLog_logback_Style·p0.50","sample",4,1,4632.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackuLog_logback_Style:logbackuLog_logback_Style·p0.90","sample",4,1,10544.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackuLog_logback_Style:logbackuLog_logback_Style·p0.95","sample",4,1,120448.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackuLog_logback_Style:logbackuLog_logback_Style·p0.99","sample",4,1,358400.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackuLog_logback_Style:logbackuLog_logback_Style·p0.999","sample",4,1,1069056.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackuLog_logback_Style:logbackuLog_logback_Style·p0.9999","sample",4,1,2936832.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackuLog_logback_Style:logbackuLog_logback_Style·p1.00","sample",4,1,650117120.000000,NaN,"ns/op"
