"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.nothing_Log_nolog___Style:nothing_Log_nolog___Style·p0.90","sample",4,1,185.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.nothing_Log_nolog___Style:nothing_Log_nolog___Style·p0.95","sample",4,1,190.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.nothing_Log_nolog___Style:nothing_Log_nolog___Style·p0.99","sample",4,1,337.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.nothing_Log_nolog___Style:nothing_Log_nolog___Style·p0.999","sample",4,1,2832.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.nothing_Log_nolog___Style:nothing_Log_nolog___Style·p0.9999","sample",4,1,8159232.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.nothing_Log_nolog___Style:nothing_Log_nolog___Style·p1.00","sample",4,1,28311552.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.staticf_Log_nolog___Style","sample",4,17064589,1782.892021,110.138900,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.staticf_Log_nolog___Style:staticf_Log_nolog___Style·p0.00","sample",4,1,0.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.staticf_Log_nolog___Style:staticf_Log_nolog___Style·p0.50","sample",4,1,168.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.staticf_Log_nolog___Style:staticf_Log_nolog___Style·p0.90","sample",4,1,183.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.staticf_Log_nolog___Style:staticf_Log_nolog___Style·p0.95","sample",4,1,190.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.staticf_Log_nolog___Style:staticf_Log_nolog___Style·p0.99","sample",4,1,324.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.staticf_Log_nolog___Style:staticf_Log_nolog___Style·p0.999","sample",4,1,2556.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.staticf_Log_nolog___Style:staticf_Log_nolog___Style·p0.9999","sample",4,1,8159232.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.staticf_Log_nolog___Style:staticf_Log_nolog___Style·p1.00","sample",4,1,24477696.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_nolog___Style","sample",4,14370309,2003.255831,130.015942,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_nolog___Style:strawmanLog_nolog___Style·p0.00","sample",4,1,0.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_nolog___Style:strawmanLog_nolog___Style·p0.50","sample",4,1,168.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_nolog___Style:strawmanLog_nolog___Style·p0.90","sample",4,1,182.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_nolog___Style:strawmanLog_nolog___Style·p0.95","sample",4,1,188.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_nolog___Style:strawmanLog_nolog___Style·p0.99","sample",4,1,351.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_nolog___Style:strawmanLog_nolog___Style·p0.999","sample",4,1,2572.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_nolog___Style:strawmanLog_nolog___Style·p0.9999","sample",4,1,8159232.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_nolog___Style:strawmanLog_nolog___Style·p1.00","sample",4,1,44630016.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vcachlogLog_nolog___Style","sample",4,14310135,1984.055852,132.249390,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vcachlogLog_nolog___Style:vcachlogLog_nolog___Style·p0.00","sample",4,1,0.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vcachlogLog_nolog___Style:vcachlogLog_nolog___Style·p0.50","sample",4,1,168.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vcachlogLog_nolog___Style:vcachlogLog_nolog___Style·p0.90","sample",4,1,183.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vcachlogLog_nolog___Style:vcachlogLog_nolog___Style·p0.95","sample",4,1,188.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vcachlogLog_nolog___Style:vcachlogLog_nolog___Style·p0.99","sample",4,1,344.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vcachlogLog_nolog___Style:vcachlogLog_nolog___Style·p0.999","sample",4,1,2268.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vcachlogLog_nolog___Style:vcachlogLog_nolog___Style·p0.9999","sample",4,1,8134656.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vcachlogLog_nolog___Style:vcachlogLog_nolog___Style·p1.00","sample",4,1,40501248.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vollog__Log_nolog___Style","sample",4,14271428,2089.668148,132.095180,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vollog__Log_nolog___Style:vollog__Log_nolog___Style·p0.00","sample",4,1,0.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vollog__Log_nolog___Style:vollog__Log_nolog___Style·p0.50","sample",4,1,168.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vollog__Log_nolog___Style:vollog__Log_nolog___Style·p0.90","sample",4,1,183.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vollog__Log_nolog___Style:vollog__Log_nolog___Style·p0.95","sample",4,1,190.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vollog__Log_nolog___Style:vollog__Log_nolog___Style·p0.99","sample",4,1,367.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vollog__Log_nolog___Style:vollog__Log_nolog___Style·p0.999","sample",4,1,4276.568000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vollog__Log_nolog___Style:vollog__Log_nolog___Style·p0.9999","sample",4,1,8167424.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.vollog__Log_nolog___Style:vollog__Log_nolog___Style·p1.00","sample",4,1,28508160.000000,NaN,"ns/op"
