"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_nolog___Style","sample",4,14973478,158.051057,0.762140,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_nolog___Style:javautilLog_nolog___Style·p0.00","sample",4,1,1.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_nolog___Style:javautilLog_nolog___Style·p0.50","sample",4,1,134.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_nolog___Style:javautilLog_nolog___Style·p0.90","sample",4,1,220.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_nolog___Style:javautilLog_nolog___Style·p0.95","sample",4,1,298.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_nolog___Style:javautilLog_nolog___Style·p0.99","sample",4,1,421.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_nolog___Style:javautilLog_nolog___Style·p0.999","sample",4,1,1040.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_nolog___Style:javautilLog_nolog___Style·p0.9999","sample",4,1,7698.433600,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_nolog___Style:javautilLog_nolog___Style·p1.00","sample",4,1,1816576.000000,NaN,"ns/op"
