"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_javautilStyle","sample",4,5671747,86054.783375,3482.753096,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_javautilStyle:javautilLog_javautilStyle·p0.00","sample",4,1,16160.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_javautilStyle:javautilLog_javautilStyle·p0.50","sample",4,1,18496.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_javautilStyle:javautilLog_javautilStyle·p0.90","sample",4,1,20672.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_javautilStyle:javautilLog_javautilStyle·p0.95","sample",4,1,30816.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_javautilStyle:javautilLog_javautilStyle·p0.99","sample",4,1,44224.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_javautilStyle:javautilLog_javautilStyle·p0.999","sample",4,1,11620384.768005,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_javautilStyle:javautilLog_javautilStyle·p0.9999","sample",4,1,128489986.457520,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_javautilStyle:javautilLog_javautilStyle·p1.00","sample",4,1,367001600.000000,NaN,"ns/op"
