"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_logback_Style","sample",4,13681762,8056.299371,447.815097,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_logback_Style:log4j___Log_logback_Style·p0.00","sample",4,1,376.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_logback_Style:log4j___Log_logback_Style·p0.50","sample",4,1,1468.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_logback_Style:log4j___Log_logback_Style·p0.90","sample",4,1,6416.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_logback_Style:log4j___Log_logback_Style·p0.95","sample",4,1,15968.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_logback_Style:log4j___Log_logback_Style·p0.99","sample",4,1,70016.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_logback_Style:log4j___Log_logback_Style·p0.999","sample",4,1,1064960.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_logback_Style:log4j___Log_logback_Style·p0.9999","sample",4,1,2707456.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_logback_Style:log4j___Log_logback_Style·p1.00","sample",4,1,659554304.000000,NaN,"ns/op"
