"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_log4j___Style","sample",4,16896826,5323.127040,47.160091,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_log4j___Style:log4j___Log_log4j___Style·p0.00","sample",4,1,162.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_log4j___Style:log4j___Log_log4j___Style·p0.50","sample",4,1,1170.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_log4j___Style:log4j___Log_log4j___Style·p0.90","sample",4,1,3236.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_log4j___Style:log4j___Log_log4j___Style·p0.95","sample",4,1,13024.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_log4j___Style:log4j___Log_log4j___Style·p0.99","sample",4,1,32064.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_log4j___Style:log4j___Log_log4j___Style·p0.999","sample",4,1,757760.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_log4j___Style:log4j___Log_log4j___Style·p0.9999","sample",4,1,1273856.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_log4j___Style:log4j___Log_log4j___Style·p1.00","sample",4,1,24182784.000000,NaN,"ns/op"
