"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_log4j___Style","sample",4,6115541,74794.026335,2244.145846,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_log4j___Style:javautilLog_log4j___Style·p0.00","sample",4,1,11200.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_log4j___Style:javautilLog_log4j___Style·p0.50","sample",4,1,13632.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_log4j___Style:javautilLog_log4j___Style·p0.90","sample",4,1,16320.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_log4j___Style:javautilLog_log4j___Style·p0.95","sample",4,1,17632.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_log4j___Style:javautilLog_log4j___Style·p0.99","sample",4,1,32160.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_log4j___Style:javautilLog_log4j___Style·p0.999","sample",4,1,23953408.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_log4j___Style:javautilLog_log4j___Style·p0.9999","sample",4,1,74711040.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_log4j___Style:javautilLog_log4j___Style·p1.00","sample",4,1,177209344.000000,NaN,"ns/op"
