"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_logback_Style:synclog_Log_logback_Style·p0.50","sample",4,1,1782.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_logback_Style:synclog_Log_logback_Style·p0.90","sample",4,1,3212.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_logback_Style:synclog_Log_logback_Style·p0.95","sample",4,1,8056.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_logback_Style:synclog_Log_logback_Style·p0.99","sample",4,1,37312.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_logback_Style:synclog_Log_logback_Style·p0.999","sample",4,1,386048.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_logback_Style:synclog_Log_logback_Style·p0.9999","sample",4,1,458812.006399,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingFlush__rk.synclog_Log_logback_Style:synclog_Log_logback_Style·p1.00","sample",4,1,42074112.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingNoBufmark.nobufmanLog_logback_Style","sample",4,12760120,19405.294361,109.555443,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingNoBufmark.nobufmanLog_logback_Style:nobufmanLog_logback_Style·p0.00","sample",4,1,1818.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingNoBufmark.nobufmanLog_logback_Style:nobufmanLog_logback_Style·p0.50","sample",4,1,3048.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingNoBufmark.nobufmanLog_logback_Style:nobufmanLog_logback_Style·p0.90","sample",4,1,52928.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingNoBufmark.nobufmanLog_logback_Style:nobufmanLog_logback_Style·p0.95","sample",4,1,113152.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingNoBufmark.nobufmanLog_logback_Style:nobufmanLog_logback_Style·p0.99","sample",4,1,248576.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingNoBufmark.nobufmanLog_logback_Style:nobufmanLog_logback_Style·p0.999","sample",4,1,471552.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingNoBufmark.nobufmanLog_logback_Style:nobufmanLog_logback_Style·p0.9999","sample",4,1,2187214.438400,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingNoBufmark.nobufmanLog_logback_Style:nobufmanLog_logback_Style·p1.00","sample",4,1,57344000.000000,NaN,"ns/op"
