"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jlmxLog_log4j___Style","sample",4,16941817,5381.041407,49.740229,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jlmxLog_log4j___Style:log4jlmxLog_log4j___Style·p0.00","sample",4,1,374.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jlmxLog_log4j___Style:log4jlmxLog_log4j___Style·p0.50","sample",4,1,1154.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jlmxLog_log4j___Style:log4jlmxLog_log4j___Style·p0.90","sample",4,1,3036.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jlmxLog_log4j___Style:log4jlmxLog_log4j___Style·p0.95","sample",4,1,12944.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jlmxLog_log4j___Style:log4jlmxLog_log4j___Style·p0.99","sample",4,1,32192.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jlmxLog_log4j___Style:log4jlmxLog_log4j___Style·p0.999","sample",4,1,762880.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jlmxLog_log4j___Style:log4jlmxLog_log4j___Style·p0.9999","sample",4,1,1412747.673599,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jlmxLog_log4j___Style:log4jlmxLog_log4j___Style·p1.00","sample",4,1,12926976.000000,NaN,"ns/op"
