"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_nolog___Style","sample",4,14010885,214.032461,2.260168,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_nolog___Style:logback_Log_nolog___Style·p0.00","sample",4,1,1.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_nolog___Style:logback_Log_nolog___Style·p0.50","sample",4,1,163.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_nolog___Style:logback_Log_nolog___Style·p0.90","sample",4,1,361.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_nolog___Style:logback_Log_nolog___Style·p0.95","sample",4,1,381.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_nolog___Style:logback_Log_nolog___Style·p0.99","sample",4,1,667.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_nolog___Style:logback_Log_nolog___Style·p0.999","sample",4,1,1492.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_nolog___Style:logback_Log_nolog___Style·p0.9999","sample",4,1,20032.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_nolog___Style:logback_Log_nolog___Style·p1.00","sample",4,1,4366336.000000,NaN,"ns/op"
