"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_javautilStyle","sample",4,9277939,27420.108384,37.054000,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_javautilStyle:logback_Log_javautilStyle·p0.00","sample",4,1,23136.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_javautilStyle:logback_Log_javautilStyle·p0.50","sample",4,1,24800.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_javautilStyle:logback_Log_javautilStyle·p0.90","sample",4,1,28160.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_javautilStyle:logback_Log_javautilStyle·p0.95","sample",4,1,39296.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_javautilStyle:logback_Log_javautilStyle·p0.99","sample",4,1,48832.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_javautilStyle:logback_Log_javautilStyle·p0.999","sample",4,1,237056.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_javautilStyle:logback_Log_javautilStyle·p0.9999","sample",4,1,1193984.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_javautilStyle:logback_Log_javautilStyle·p1.00","sample",4,1,13828096.000000,NaN,"ns/op"
