"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4ju__Log_logback_Style","sample",4,9666550,31146.352224,124.217494,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4ju__Log_logback_Style:log4ju__Log_logback_Style·p0.00","sample",4,1,420.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4ju__Log_logback_Style:log4ju__Log_logback_Style·p0.50","sample",4,1,5528.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4ju__Log_logback_Style:log4ju__Log_logback_Style·p0.90","sample",4,1,78720.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4ju__Log_logback_Style:log4ju__Log_logback_Style·p0.95","sample",4,1,158976.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4ju__Log_logback_Style:log4ju__Log_logback_Style·p0.99","sample",4,1,501760.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4ju__Log_logback_Style:log4ju__Log_logback_Style·p0.999","sample",4,1,1181696.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4ju__Log_logback_Style:log4ju__Log_logback_Style·p0.9999","sample",4,1,2588672.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4ju__Log_logback_Style:log4ju__Log_logback_Style·p1.00","sample",4,1,29458432.000000,NaN,"ns/op"
