"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_javautilStyle","sample",4,8217497,16905.310052,39.375941,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_javautilStyle:strawmanLog_javautilStyle·p0.00","sample",4,1,12992.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_javautilStyle:strawmanLog_javautilStyle·p0.50","sample",4,1,13920.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_javautilStyle:strawmanLog_javautilStyle·p0.90","sample",4,1,17152.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_javautilStyle:strawmanLog_javautilStyle·p0.95","sample",4,1,22720.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_javautilStyle:strawmanLog_javautilStyle·p0.99","sample",4,1,32000.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_javautilStyle:strawmanLog_javautilStyle·p0.999","sample",4,1,579584.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_javautilStyle:strawmanLog_javautilStyle·p0.9999","sample",4,1,1048576.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.strawmanLog_javautilStyle:strawmanLog_javautilStyle·p1.00","sample",4,1,9502720.000000,NaN,"ns/op"
