"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_javautilStyle","sample",4,7650521,32755.168213,27.053616,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_javautilStyle:log4j___Log_javautilStyle·p0.00","sample",4,1,25376.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_javautilStyle:log4j___Log_javautilStyle·p0.50","sample",4,1,28608.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_javautilStyle:log4j___Log_javautilStyle·p0.90","sample",4,1,42560.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_javautilStyle:log4j___Log_javautilStyle·p0.95","sample",4,1,44608.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_javautilStyle:log4j___Log_javautilStyle·p0.99","sample",4,1,54528.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_javautilStyle:log4j___Log_javautilStyle·p0.999","sample",4,1,100608.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_javautilStyle:log4j___Log_javautilStyle·p0.9999","sample",4,1,919552.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_javautilStyle:log4j___Log_javautilStyle·p1.00","sample",4,1,5103616.000000,NaN,"ns/op"
