"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_nolog___Style","sample",4,16599900,1699.773839,111.221643,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_nolog___Style:log4j___Log_nolog___Style·p0.00","sample",4,1,0.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_nolog___Style:log4j___Log_nolog___Style·p0.50","sample",4,1,175.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_nolog___Style:log4j___Log_nolog___Style·p0.90","sample",4,1,194.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_nolog___Style:log4j___Log_nolog___Style·p0.95","sample",4,1,206.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_nolog___Style:log4j___Log_nolog___Style·p0.99","sample",4,1,338.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_nolog___Style:log4j___Log_nolog___Style·p0.999","sample",4,1,2408.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_nolog___Style:log4j___Log_nolog___Style·p0.9999","sample",4,1,8151040.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4j___Log_nolog___Style:log4j___Log_nolog___Style·p1.00","sample",4,1,28377088.000000,NaN,"ns/op"
