"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackaLog_log4j___Style","sample",4,14306652,9116.234558,49.633856,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackaLog_log4j___Style:logbackaLog_log4j___Style·p0.00","sample",4,1,96.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackaLog_log4j___Style:logbackaLog_log4j___Style·p0.50","sample",4,1,316.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackaLog_log4j___Style:logbackaLog_log4j___Style·p0.90","sample",4,1,16544.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackaLog_log4j___Style:logbackaLog_log4j___Style·p0.95","sample",4,1,47168.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackaLog_log4j___Style:logbackaLog_log4j___Style·p0.99","sample",4,1,153088.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackaLog_log4j___Style:logbackaLog_log4j___Style·p0.999","sample",4,1,309760.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackaLog_log4j___Style:logbackaLog_log4j___Style·p0.9999","sample",4,1,3608576.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logbackaLog_log4j___Style:logbackaLog_log4j___Style·p1.00","sample",4,1,14991360.000000,NaN,"ns/op"
