"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_logback_Style","sample",4,8890591,42404.201981,541.229268,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_logback_Style:javautilLog_logback_Style·p0.00","sample",4,1,2896.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_logback_Style:javautilLog_logback_Style·p0.50","sample",4,1,6736.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_logback_Style:javautilLog_logback_Style·p0.90","sample",4,1,9152.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_logback_Style:javautilLog_logback_Style·p0.95","sample",4,1,11584.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_logback_Style:javautilLog_logback_Style·p0.99","sample",4,1,640000.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_logback_Style:javautilLog_logback_Style·p0.999","sample",4,1,8151040.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_logback_Style:javautilLog_logback_Style·p0.9999","sample",4,1,17203200.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.javautilLog_logback_Style:javautilLog_logback_Style·p1.00","sample",4,1,43974656.000000,NaN,"ns/op"
