"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jsynLog_log4j___Style","sample",4,12008979,5639.603073,72.590234,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jsynLog_log4j___Style:log4jsynLog_log4j___Style·p0.00","sample",4,1,517.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jsynLog_log4j___Style:log4jsynLog_log4j___Style·p0.50","sample",4,1,1138.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jsynLog_log4j___Style:log4jsynLog_log4j___Style·p0.90","sample",4,1,1508.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jsynLog_log4j___Style:log4jsynLog_log4j___Style·p0.95","sample",4,1,1716.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jsynLog_log4j___Style:log4jsynLog_log4j___Style·p0.99","sample",4,1,20192.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jsynLog_log4j___Style:log4jsynLog_log4j___Style·p0.999","sample",4,1,797696.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jsynLog_log4j___Style:log4jsynLog_log4j___Style·p0.9999","sample",4,1,1351680.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.log4jsynLog_log4j___Style:log4jsynLog_log4j___Style·p1.00","sample",4,1,12353536.000000,NaN,"ns/op"
