"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_logback_Style","sample",4,14585933,5507.546313,258.971048,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_logback_Style:logback_Log_logback_Style·p0.00","sample",4,1,630.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_logback_Style:logback_Log_logback_Style·p0.50","sample",4,1,1380.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_logback_Style:logback_Log_logback_Style·p0.90","sample",4,1,6056.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_logback_Style:logback_Log_logback_Style·p0.95","sample",4,1,12256.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_logback_Style:logback_Log_logback_Style·p0.99","sample",4,1,76928.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_logback_Style:logback_Log_logback_Style·p0.999","sample",4,1,276480.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_logback_Style:logback_Log_logback_Style·p0.9999","sample",4,1,3522560.000000,NaN,"ns/op"
"me.justpitch.loggingbenchmarks.LoggingBenchmark.logback_Log_logback_Style:logback_Log_logback_Style·p1.00","sample",4,1,912261120.000000,NaN,"ns/op"
